image_path,x,y,radius,coin_type
archive\images\001.jpg,413,642,65,1cent
archive\images\001.jpg,427,476,85,5cent
archive\images\001.jpg,269,505,75,2cent
archive\images\002.jpg,354,403,71,10cent
archive\images\003.jpg,327,392,68,2cent
archive\images\004.jpg,404,575,76,1cent
archive\images\005.jpg,357,508,67,10cent
archive\images\006.jpg,381,469,70,20cent
archive\images\007.jpg,289,474,72,5cent
archive\images\007.jpg,444,482,81,50cent
archive\images\007.jpg,293,628,81,50cent
archive\images\008.jpg,380,563,85,2cent
archive\images\009.jpg,373,601,88,2cent
archive\images\010.jpg,370,582,79,10cent
archive\images\011.jpg,259,441,81,50cent
archive\images\011.jpg,413,522,78,1euro
archive\images\012.jpg,227,480,88,50cent
archive\images\012.jpg,458,607,76,5cent
archive\images\013.jpg,367,583,90,1euro
archive\images\014.jpg,374,516,86,20cent
archive\images\015.jpg,365,490,66,5cent
archive\images\016.jpg,255,502,74,1cent
archive\images\016.jpg,454,526,84,2cent
archive\images\017.jpg,158,459,75,20cent
archive\images\017.jpg,488,474,82,1euro
archive\images\017.jpg,346,724,81,5cent
archive\images\018.jpg,525,413,96,1euro
archive\images\018.jpg,276,514,83,5cent
archive\images\018.jpg,430,675,79,2cent
archive\images\019.jpg,376,577,84,2euro
archive\images\020.jpg,431,443,66,1cent
archive\images\020.jpg,265,587,83,2cent
archive\images\020.jpg,515,633,100,5cent
archive\images\021.jpg,415,574,90,2cent
archive\images\022.jpg,387,546,78,2euro
archive\images\023.jpg,314,655,87,20cent
archive\images\023.jpg,415,391,79,5cent
archive\images\024.jpg,313,612,109,20cent
archive\images\024.jpg,532,646,103,5cent
archive\images\024.jpg,486,482,96,10cent
archive\images\025.jpg,350,514,59,20cent
archive\images\025.jpg,324,648,70,2euro
archive\images\025.jpg,427,572,57,5cent
archive\images\026.jpg,509,598,87,2cent
archive\images\026.jpg,392,407,73,1cent
archive\images\027.jpg,374,378,62,5cent
archive\images\027.jpg,513,474,90,2euro
archive\images\027.jpg,322,539,80,20cent
archive\images\027.jpg,218,691,102,1euro
archive\images\027.jpg,482,630,81,10cent
archive\images\028.jpg,301,570,74,2cent
archive\images\028.jpg,429,526,91,1euro
archive\images\029.jpg,444,614,82,1euro
archive\images\030.jpg,498,485,55,1cent
archive\images\030.jpg,358,495,70,5cent
archive\images\030.jpg,455,602,71,5cent
archive\images\031.jpg,333,601,89,50cent
archive\images\031.jpg,378,478,88,1euro
archive\images\032.jpg,413,409,113,1euro
archive\images\032.jpg,257,605,106,20cent
archive\images\032.jpg,462,632,92,10cent
archive\images\033.jpg,389,496,73,2cent
archive\images\034.jpg,408,494,72,20cent
archive\images\035.jpg,391,473,81,20cent
archive\images\036.jpg,195,540,102,2euro
archive\images\036.jpg,495,519,89,1euro
archive\images\037.jpg,232,472,103,1euro
archive\images\037.jpg,344,718,94,5cent
archive\images\037.jpg,489,535,87,10cent
archive\images\038.jpg,140,437,51,20cent
archive\images\038.jpg,213,585,55,1euro
archive\images\038.jpg,376,665,54,20cent
archive\images\038.jpg,301,387,48,5cent
archive\images\038.jpg,400,487,36,1cent
archive\images\038.jpg,556,553,51,20cent
archive\images\038.jpg,544,409,48,5cent
