image_path,x,y,radius,coin_type
data/training/images/001.jpg,413,642,65,1cent
data/training/images/001.jpg,427,476,85,5cent
data/training/images/001.jpg,269,505,75,2cent
data/training/images/002.jpg,354,403,71,10cent
data/training/images/003.jpg,327,392,68,2cent
data/training/images/004.jpg,404,575,76,1cent
data/training/images/005.jpg,357,508,67,10cent
data/training/images/006.jpg,381,469,70,20cent
data/training/images/007.jpg,289,474,72,5cent
data/training/images/007.jpg,444,482,81,50cent
data/training/images/007.jpg,293,628,81,50cent
data/training/images/008.jpg,380,563,85,2cent
data/training/images/009.jpg,373,601,88,2cent
data/training/images/010.jpg,370,582,79,10cent
data/training/images/011.jpg,259,441,81,50cent
data/training/images/011.jpg,413,522,78,1euro
data/training/images/012.jpg,227,480,88,50cent
data/training/images/012.jpg,458,607,76,5cent
data/training/images/013.jpg,367,583,90,1euro
data/training/images/014.jpg,374,516,86,20cent
data/training/images/015.jpg,365,490,66,5cent
data/training/images/016.jpg,255,502,74,1cent
data/training/images/016.jpg,454,526,84,2cent
data/training/images/017.jpg,158,459,75,20cent
data/training/images/017.jpg,488,474,82,1euro
data/training/images/017.jpg,346,724,81,5cent
data/training/images/018.jpg,525,413,96,1euro
data/training/images/018.jpg,276,514,83,5cent
data/training/images/018.jpg,430,675,79,2cent
data/training/images/019.jpg,376,577,84,2euro
data/training/images/020.jpg,431,443,66,1cent
data/training/images/020.jpg,265,587,83,2cent
data/training/images/020.jpg,515,633,100,5cent
data/training/images/021.jpg,415,574,90,2cent
data/training/images/022.jpg,387,546,78,2euro
data/training/images/023.jpg,314,655,87,20cent
data/training/images/023.jpg,415,391,78,5cent
data/training/images/024.jpg,313,612,109,20cent
data/training/images/024.jpg,532,646,103,5cent
data/training/images/024.jpg,486,482,96,10cent
data/training/images/025.jpg,350,514,59,20cent
data/training/images/025.jpg,324,648,70,2euro
data/training/images/025.jpg,427,572,57,5cent
data/training/images/026.jpg,509,598,87,2cent
data/training/images/026.jpg,392,407,73,1cent
data/training/images/027.jpg,374,378,62,5cent
data/training/images/027.jpg,513,474,90,2euro
data/training/images/027.jpg,322,539,80,20cent
data/training/images/027.jpg,218,691,102,1euro
data/training/images/027.jpg,482,630,81,10cent
data/training/images/028.jpg,301,570,74,2cent
data/training/images/028.jpg,429,526,91,1euro
data/training/images/029.jpg,444,614,82,1euro
data/training/images/030.jpg,498,485,55,1cent
data/training/images/030.jpg,358,495,69,5cent
data/training/images/030.jpg,455,602,71,5cent
data/training/images/031.jpg,333,601,89,50cent
data/training/images/031.jpg,378,478,88,1euro
data/training/images/032.jpg,413,409,113,1euro
data/training/images/032.jpg,257,605,105,20cent
data/training/images/032.jpg,462,632,92,10cent
data/training/images/033.jpg,389,496,73,2cent
data/training/images/034.jpg,408,494,72,20cent
data/training/images/035.jpg,391,473,81,20cent
data/training/images/036.jpg,195,540,102,2euro
data/training/images/036.jpg,495,519,89,1euro
data/training/images/037.jpg,232,472,103,1euro
data/training/images/037.jpg,344,718,93,5cent
data/training/images/037.jpg,489,535,87,10cent
data/training/images/038.jpg,140,437,50,20cent
data/training/images/038.jpg,213,585,55,1euro
data/training/images/038.jpg,376,665,54,20cent
data/training/images/038.jpg,301,387,47,5cent
data/training/images/038.jpg,400,487,36,1cent
data/training/images/038.jpg,556,553,51,20cent
data/training/images/038.jpg,544,409,48,5cent
data/training/images/039.jpg,304,459,72,1cent
data/training/images/039.jpg,434,619,92,10cent
data/training/images/040.jpg,293,353,86,20cent
data/training/images/040.jpg,105,502,91,1euro
data/training/images/040.jpg,524,598,86,5cent
data/training/images/040.jpg,239,700,79,10cent
data/training/images/040.jpg,396,819,101,2euro
data/training/images/041.jpg,345,642,107,50cent
data/training/images/042.jpg,390,583,90,2euro
data/training/images/043.jpg,261,606,117,20cent
data/training/images/043.jpg,408,409,100,10cent
data/training/images/044.jpg,294,594,95,1euro
data/training/images/044.jpg,385,741,105,2euro
data/training/images/045.jpg,264,357,74,5cent
data/training/images/045.jpg,268,577,73,10cent
data/training/images/045.jpg,514,598,87,1euro
data/training/images/046.jpg,496,373,110,1euro
data/training/images/046.jpg,459,597,104,20cent
data/training/images/046.jpg,267,461,111,50cent
data/training/images/047.jpg,254,435,96,50cent
data/training/images/047.jpg,275,675,94,1euro
data/training/images/047.jpg,489,592,84,5cent
data/training/images/048.jpg,392,558,83,5cent
data/training/images/049.jpg,262,513,87,1euro
data/training/images/049.jpg,410,606,83,20cent
data/training/images/049.jpg,283,721,89,50cent
data/training/images/050.jpg,195,263,66,2cent
data/training/images/050.jpg,488,788,60,1cent
data/training/images/051.jpg,210,439,85,20cent
data/training/images/051.jpg,447,465,85,20cent
data/training/images/051.jpg,320,576,83,20cent
data/training/images/051.jpg,206,703,85,20cent
data/training/images/052.jpg,156,431,88,20cent
data/training/images/052.jpg,345,398,96,50cent
data/training/images/052.jpg,508,497,86,5cent
data/training/images/052.jpg,167,622,97,50cent
data/training/images/052.jpg,354,594,89,20cent
data/training/images/052.jpg,289,753,81,10cent
data/training/images/053.jpg,348,498,78,50cent
data/training/images/054.jpg,231,478,82,5cent
data/training/images/054.jpg,552,475,95,1euro
data/training/images/055.jpg,283,509,111,1euro
data/training/images/055.jpg,441,592,128,2euro
data/training/images/056.jpg,371,553,80,20cent
data/training/images/057.jpg,251,462,85,10cent
data/training/images/057.jpg,441,445,101,50cent
data/training/images/057.jpg,399,685,115,2euro
data/training/images/058.jpg,453,569,66,1euro
data/training/images/058.jpg,270,557,72,2euro
data/training/images/058.jpg,354,435,68,50cent
data/training/images/059.jpg,502,349,66,20cent
data/training/images/059.jpg,408,741,71,5cent
data/training/images/060.jpg,365,606,67,1cent
data/training/images/061.jpg,335,384,96,2euro
data/training/images/062.jpg,186,795,79,1euro
data/training/images/062.jpg,526,198,61,2cent
data/training/images/063.jpg,497,563,85,2cent
data/training/images/063.jpg,202,660,92,2cent
data/training/images/063.jpg,275,505,72,1cent
data/training/images/064.jpg,363,583,74,1cent
data/training/images/065.jpg,257,479,68,2cent
data/training/images/066.jpg,256,648,95,2cent
data/training/images/066.jpg,529,696,84,1cent
data/training/images/066.jpg,463,385,103,5cent
data/training/images/067.jpg,326,471,65,1cent
data/training/images/067.jpg,538,570,97,1euro
data/training/images/068.jpg,365,518,92,1euro
data/training/images/069.jpg,392,452,74,5cent
data/training/images/070.jpg,384,634,77,2cent
data/training/images/071.jpg,408,527,78,1euro
data/training/images/072.jpg,255,556,75,2euro
data/training/images/072.jpg,390,584,62,5cent
data/training/images/072.jpg,500,584,49,1cent
data/training/images/073.jpg,264,431,91,1euro
data/training/images/073.jpg,356,634,88,5cent
data/training/images/073.jpg,531,456,72,2cent
data/training/images/074.jpg,292,675,77,5cent
data/training/images/074.jpg,462,571,70,2cent
data/training/images/075.jpg,254,503,96,1euro
data/training/images/075.jpg,423,631,108,2euro
data/training/images/076.jpg,436,652,101,20cent
data/training/images/076.jpg,437,441,107,50cent
data/training/images/076.jpg,219,459,100,20cent
data/training/images/076.jpg,225,673,108,50cent
data/training/images/077.jpg,436,606,78,5cent
data/training/images/077.jpg,399,438,78,5cent
data/training/images/077.jpg,240,591,85,1euro
data/training/images/078.jpg,454,733,92,2euro
data/training/images/078.jpg,379,501,80,1euro
data/training/images/078.jpg,249,642,77,20cent
data/training/images/079.jpg,297,392,72,50cent
data/training/images/079.jpg,435,456,67,1euro
data/training/images/079.jpg,555,510,57,10cent
data/training/images/079.jpg,481,663,68,20cent
data/training/images/079.jpg,228,636,80,2euro
data/training/images/080.jpg,339,566,81,2cent
data/training/images/080.jpg,326,720,94,10cent
data/training/images/081.jpg,396,496,80,50cent
data/training/images/082.jpg,390,557,61,5cent
data/training/images/083.jpg,385,561,83,20cent
data/training/images/084.jpg,197,367,76,2cent
data/training/images/084.jpg,448,333,86,5cent
data/training/images/084.jpg,554,553,79,2cent
data/training/images/084.jpg,324,627,89,5cent
data/training/images/085.jpg,339,258,62,20cent
data/training/images/085.jpg,556,405,73,5cent
data/training/images/085.jpg,462,609,115,2euro
data/training/images/085.jpg,283,495,75,10cent
data/training/images/085.jpg,167,345,74,1euro
data/training/images/086.jpg,308,643,75,1cent
data/training/images/086.jpg,283,509,84,2cent
data/training/images/086.jpg,440,472,102,1euro
data/training/images/087.jpg,399,661,88,5cent
data/training/images/088.jpg,297,238,72,5cent
data/training/images/088.jpg,391,694,73,5cent
data/training/images/088.jpg,571,499,65,2cent
data/training/images/088.jpg,125,709,55,1cent
data/training/images/088.jpg,256,471,55,1cent
data/training/images/088.jpg,556,240,65,10cent
data/training/images/089.jpg,389,403,88,1euro
data/training/images/089.jpg,444,620,80,2cent
data/training/images/090.jpg,219,526,73,1cent
data/training/images/090.jpg,372,496,83,2cent
data/training/images/091.jpg,401,665,80,1cent
data/training/images/092.jpg,319,369,60,1cent
